;AIRO_ID;Roll_No;Off_Name;Long;Lat;City;County;Add_3;Add_4;Country;Ethos;Island;DEIS;Gaeltacht;M_13_14;F_13_14;T_13_14
0;1;00651R;BORRIS MXD N S;-6.91956;52.5993;BORRIS;CO CARLOW;;;;CATHOLIC;N;N;N;100;94;194
1;2;00977B;BALLYCONNELL N S;-6.62828;52.8124;Ballyconnell;Tullow;Co Carlow;;;CATHOLIC;N;N;N;80;79;159
2;3;01116A;BAILE AN CHUILINN N S;-6.92923;52.6485;MUINEBEAG;CO CARLOW;;;;CATHOLIC;N;N;N;56;55;111
3;4;01215C;NEWTOWN DUNLECKNEY MXD;-6.87567;52.7225;MUINEBEAG;CO CARLOW;;;;CATHOLIC;N;N;N;69;61;130
4;5;01415K;RATHOE NS;-6.79887;52.7872;RATHOE;CO CARLOW;;;;CATHOLIC;N;N;N;92;86;178
5;6;02124E;SCOIL NAIS MOLAISE;-7.03297;52.7394;OLD LEIGHLIN;VIA BILBOA;CO CARLOW;;;CATHOLIC;N;N;N;74;66;140
6;7;04077I;SCOIL NAIS BHRIDE;-6.78127;52.8373;GRANGE;TULLOW;CO CARLOW;;;CATHOLIC;N;N;N;88;71;159
7;8;09320Q;SCOIL NAIS MHUIRE;-6.83898;52.6581;DROIMFEIGH;BAGENALSTOWN;CO CARLOW;;;CATHOLIC;N;N;N;53;47;100
8;9;11135K;ST MARYS N S;-6.95892;52.7001;MUINEBEAG;CO CARLOW;;;;CHURCH OF IRELAND;N;N;N;39;41;80
9;10;13105L;ST BRIDGETS MONASTERY;-6.95411;52.7;MUINEBEAG;CO CARLOW;;;;CATHOLIC;N;N;N;116;1;117
10;11;13507I;S N MUIRE LOURDES;-6.73301;52.8003;TULLOW;CO CARLOW;;;;CATHOLIC;N;N;N;0;217;217
11;12;13607M;ST COLUMBAS N S;-6.73187;52.8037;TULLOW;CO CARLOW;;;;CHURCH OF IRELAND;N;N;N;30;35;65
12;13;14837L;S N PEADAR AGUS POL;-6.76798;52.7381;BALLON;CO CARLOW;;;;CATHOLIC;N;N;N;142;139;281
